NB;NAME;NAME_MOD;COUNTRY;LATITUDE;LONGITUDE;FOUNDATION;Mi;My;Pn;AUTH_ANC;AUTH_MOD;DOC1_Papers;DOC2_papers;DOC3_www;DOC4_www;WIKIPEDIA;PLEIADES;DARE;TRISMEGISTOS;TOPOSText;AM;PP;RE;SI;SU;PS;BW;QU;PL;MO;CN;SL;SH;SY;EX;LK;PH;HO;VM;FT;FP;QR;FO;SW
1;Tyle, Thule;Iceland? Pliny and Strabo, who cite Pytheas (ca 325 BC?), place Thule at 6 navigation days from (Great) Britain, which may be 400-600 nautical miles. Iceland is at 450 miles north of Scotland. The mention of six months long days and nights means a position beyond the Arctic Circle, which corresponds better to Iceland than to the Shetland islands.;Iceland?;63,27477;-14,76131; ;;;;"Polybius, Hist, 34, 5 ; Pytheas quoted by: Strabo, Geogr, 1, 4 & 2, 5 ; Pliny, Hist Nat, 2, 77 & 99 & 4, 27";BAtlas locates it in the Shetland islands;Journes (2000);;;;https://en.wikipedia.org/wiki/Thule;https://pleiades.stoa.org/places/20624;;https://www.trismegistos.org/place/19731;https://topostext.org/place/000000UThu;a;;;;;;;;;;;;;;;;;;;;;;;
1,1;;Alta, Bronze Age rock carvings showing many ships;Norway;69,94740;23,18700;-5000;;;;;"Bronze Age rock carvings showing many ships ; no shipwrecks were found but several ancient paddles, oars and frames were found north of the Arctic Circle";Wickler (2019);Glorstad (2013);https://whc.unesco.org/en/list/352;https://en.wikipedia.org/wiki/World_Heritage_Rock_Art_Centre_-_Alta_Museum;https://en.wikipedia.org/wiki/Rock_carvings_at_Alta;;;;;m;;;;;;;;;;;;;;;;;;;;;;;
1,2;;Haugvik, on the isle of Somna;Norway;65,29600;12,11200;-100;;;;;sewn?-plank boat wreck at Haugvik farm;Sylvester (2009);Glorstad (2013);Glorstad (2013);;;;;;;m;;;;;;;;;;;;;;;;;;;;;;;X
1,3;;Aukra, on the isle of Gossa, with hundreds of Mesolithic coastal settlements in Central Norway;Norway;62,82000;6,87620;"-10000 
to 
-5000";;;;;;Bjerck (2017);Breivik (2014);;;;;;;;m;;;;;;;;;;;;;;;;;;;;;;;
1,4;;Toftevagen, on Halsnoy island;Norway;59,79890;5,73940;400;;;;;sewn-plank boat wreck at Bunes;Glorstad (2013);;https://www.grind.no/en/sunnhordland/kvinnherad/halsnoy-boat;;https://fr.wikipedia.org/wiki/Bateau_de_Halsn%C3%B8y;;;;;m;;;;;;;;;;;;;;;;;;;;;;;X
2;;Tanum, Bronze Age rock carvings showing many ships;Sweden;58,70129;11,34070;-1000?;;;;Pliny, Hist Nat, 4, 27;;http://www.shfa.se/?lang=en-GB;;http://whc.unesco.org/en/list/557;https://en.wikipedia.org/wiki/Nordic_Bronze_Age;https://en.wikipedia.org/wiki/Rock_Carvings_in_Tanum;;;;;a;;;;;;;;;;;;;;;;;;;;;;;
2,1;;Torsbo, near Kville, Bronze Age rock carvings showing many ships;Sweden;58,54680;11,33720;-1000?;;;;;Bronze Age rock carvings showing many ships (panel Kville 156:1);Jagerbrand (2010);Ling (2014);;http://www.runesnruins.com/ontherocks/index.htm;;;;;;m;;;;;;;;;;;;;;;;;;;;;;;
2,2;Baltia?;Norrköping, Bronze Age rock carvings showing many ships;Sweden;58,59300;16,14500;-1000?;;;;;Bronze Age rock carvings showing many ships (panel Östra Eneby 1:1) at Himmelstalund;Ling (2014);;;https://www.guidebook-sweden.com/en/guidebook/destination/haellristningar-i-himmelstalund-bronze-age-rock-carvings-norrkoeping;;;;;;m;;;;;;;;;;;;;;;;;;;;;;;
2,3;;Björke;Sweden;60,76600;17,19020;400;;;;;shipwreck at Björke Canal;;;;https://www2.rgzm.de/navis2/home/frames.htm;;;;;;m;;;;;;;;;;;;;;;;;;;;;;;X
3;Export of amber to the Black Sea, on R Chesinos, Chesynus;Daugmale, on R Daugava, Dvina, Düna;Latvia;56,82500;24,41000;;;;;;;Kalnins (2013);;;;;;;;;m;;;;;;;;;;;;;;;;;;;;;;;
3,1;Basileia, Basilia, Ile Royale, between R Vistula and R Chronus;Sambia, Samland? near Kaliningrad, famous for amber exported via R Vistula and R Neman;Russia;54,90000;20,00000; ;;;;"Strabo, Geogr, 5, 17 ; Pytheas quoted by: Pliny, Hist Nat, 30, 7 ; Marcian, Peripl, 2, 39";;Journes (2000);;;;https://en.wikipedia.org/wiki/Sambia_Peninsula;http://pleiades.stoa.org/places/101177;;;;a;;;;;;;;;;;;;;;;;;;;;;;
4;;Wolin, with Neolithic settlement, on R Dziwna;Poland;53,84860;14,62380;;;;;;;Janowski (2013);;;;https://en.wikipedia.org/wiki/Wolin_(town);;;;;m;;;;;;;;;;;;;;;;;;;;;;;
