NB;NAME_MOD;COUNTRY;LATITUDE;LONGITUDE;;
39,3;Nieuwpoort, on R IJzer, Yzer;Belgium;51,53997;3,60770;;
203;Camarinas;Spain North;43,13236;-9,17224;;
211;Isla Toxa Grande;Spain North;42,48749;-8,84411;;
217;Ensenada de San Simon;Spain North;42,30398;-8,63775;;
306;Isla Cristina;Spain South;37,20622;-7,32777;;
307;El Rompido;Spain South;37,21424;-7,12572;;
341;Sancti-Petri;Spain South;36,39715;-6,20680;;
455;Las Illetas;Spain Mallorca;39,53193;2,58728;;
460;Puerto de Soller;Spain Mallorca;39,79664;2,69348;;
470;Porto Cristo;Spain Mallorca;39,54052;3,33699;;
472;Porto Colom;Spain Mallorca;39,41931;3,26506;;
473;Puerto de Cala Llonga, Cala d'Or;Spain Mallorca;39,36924;3,22445;;
474;Porto Petro;Spain Mallorca;39,35687;3,21204;;
479;Puerto de Cabrera;Spain Cabrera;39,14823;2,93363;;
480;Cala Pi;Spain Mallorca;39,36203;2,83432;;
485;Puerto de Fornells;Spain Minorca;40,04641;4,13022;;
486;Puerto de Cala de Addaya;Spain Minorca;40,00444;4,19963;;
487;Cala Grao, Colom island;Spain Minorca;39,95313;4,27349;;
489;Cala Alcaufa;Spain Minorca;39,82819;4,29446;;
497;Cala Badella;Spain Ibiza;38,91354;1,22286;;
498;Port del Torrent;Spain Ibiza;38,96720;1,26769;;
500;Puerto de San Miguel;Spain Ibiza;39,08437;1,43762;;
501;Cala Portinatx;Spain Ibiza;39,11433;1,51813;;
503;Puerto de Sabina, Estanque Peix;Spain Formentera;38,73042;1,41405;;
664;Sausset les Pins;France South;43,33075;5,10726;;
679,1;Port St Pierre on Iles des Embiez;France South;43,07945;5,78149;;
681;Baie du Lazaret;France South;43,08292;5,90576;;
744;Porto;France Corsica;42,26650;8,69329;;
795;Stintino;Italy Sardinia;40,93812;8,22522;;
804;Cala Gavetta, on Isla La Maddalena;Italy Sardinia;41,21205;9,40402;;
805;Cala Bitta;Italy Sardinia;41,12562;9,47091;;
807;Poltu Quatu;Italy Sardinia;41,13583;9,49585;;
808;Porto Vecchio of Porto Cervo;Italy Sardinia;41,13336;9,53626;;
809;Bay of Cugnana-Portisco;Italy Sardinia;41,01650;9,52311;;
810;Porto Rotondo;Italy Sardinia;41,02928;9,54637;;
868;Edilnautica marina, on the isle of Elba;Italy West;42,80632;10,31443;;
1215;Mellieha bay;Malta;35,97483;14,36447;;
1218;Saint George's bay;Malta;35,92614;14,48896;;
1221;Marsamxett, Msida creek;Malta;35,89641;14,49480;;
1231;Blue Lagoon, on the isle of Comino;Malta;36,01274;14,32357;;
1387;Uvala Tunarica, in Zaljev Rasa;Croatia;44,97161;14,09768;;
1394;Kraljevica;Croatia;45,27296;14,56646;;
1398;Zaton Soline, on the isle of Krk;Croatia;45,15599;14,60858;;
1399;Vrbnik, on the isle of Krk;Croatia;45,07800;14,67239;;
1401;Bay of Kosljun, Puntarska Draga, on the isle of Krk;Croatia;45,02964;14,61950;;
1406;Punta Kriza, in Uvala  Ul, on the isle of Cres;Croatia;44,64131;14,50327;;
1411;Luka Krivica, on the isle of Losinj;Croatia;44,50067;14,49522;;
1416;Uvala Lukovo-Sugarje;Croatia;44,44389;15,18564;;
1419;Uvala Jasenova;Croatia;44,28239;15,21041;;
1423;Uvala Soline, in Luka Soliscica on Dugi island;Croatia;44,14150;14,86648;;
1427;Kukljica, on Ugljan island;Croatia;44,03387;15,24751;;
1428;Uvala Soline, on Iz island;Croatia;44,05995;15,07681;;
1429;LukaTelascica, on Dugi island;Croatia;43,91781;15,14286;;
1435;Uvala Vela Luka;Croatia;43,86059;15,57247;;
1437;Betina, on Murter island;Croatia;43,82154;15,60459;;
1438;Jezera, on Murter island;Croatia;43,78435;15,64349;;
1439;Rasline;Croatia;43,80763;15,85774;;
1441;Uvala Beretusa;Croatia;43,81840;15,88672;;
1445;Jadrtovac;Croatia;43,67594;15,94572;;
